,varied_parameter,level,sublevel,number_low,number_high,baseline_value,unit,variation,new_value_low,new_value_high,start,end,run_id_low,run_id_high,total_erosion_low[m],total_erosion_high[m],rnte_low[-],rnte_high[-],volume_start_low[m2],volume_end_low[m2],volume_change_low[m2],volume_loss_low[m2],volume_start_high[m2],volume_end_high[m2],volume_change_high[m2],volume_loss_high[m2],erosion_diff[m],volume_change_diff[m2],volume_change_total[m2]
44,Solar flux calcuator,3.0,,2.0,2.0,On,-,-1,Off,Off,01/01/2017,01/01/2018,sa_lvl3_2,sa_lvl3_2,6.0,6.0,1.5,1.5,520.833327601287,498.3582068895794,-22.475120711707632,22.475120711707632,520.833327601287,498.3582068895794,-22.475120711707632,22.475120711707632,0.0,0.0,5.584914478407427
10,R2%-threshold,1.0,model,21.0,22.0,1,m,+-20%,0.8,1.2,01/01/2017,01/01/2018,sa_lvl1_21,sa_lvl1_22,6.0,4.0,1.5,1.0,520.833327601287,498.4020750784685,-22.431252522818568,22.431252522818568,520.833327601287,504.9766726707635,-15.856654930523518,15.856654930523518,2.0,6.574597592295049,6.574597592295049
35,Wave height,2.0,hydrodynamics,3.0,4.0,1,-,+-10%,*0.8,*1.2,01/01/2017,01/01/2018,sa_lvl2_3,sa_lvl2_4,4.0,6.0,1.0,1.5,520.833327601287,503.5319209112668,-17.301406690020258,17.301406690020258,520.833327601287,496.2603532346195,-24.57297436666749,24.57297436666749,2.0,7.2715676766472335,7.2715676766472335
20,D50,1.0,physical,41.0,42.0,0.036,mm,+-20%,0.0288,0.0432,01/01/2017,01/01/2018,sa_lvl1_41,sa_lvl1_42,6.0,4.0,1.5,1.0,520.833327601287,495.98952506904425,-24.84380253224276,24.84380253224276,520.833327601287,503.77350540885527,-17.05982219243174,17.05982219243174,2.0,7.78398033981102,7.78398033981102
41,2m air temperature,2.0,thermodynamics,15.0,16.0,0,-,+-2,-2,+2,01/01/2017,01/01/2018,sa_lvl2_15,sa_lvl2_16,4.0,6.0,1.0,1.5,520.833327601287,506.1476846013777,-14.685642999909303,14.685642999909303,520.833327601287,498.1703657265669,-22.662961874720168,22.662961874720168,2.0,7.977318874810864,7.977318874810864
23,Particle density sediment,1.0,physical,47.0,48.0,2650,kg/m3,+-20%,2120,3180,01/01/2017,01/01/2018,sa_lvl1_47,sa_lvl1_48,6.0,4.0,1.5,1.0,520.833327601287,495.54631276987584,-25.28701483141117,25.28701483141117,520.833327601287,503.6765610619127,-17.156766539374303,17.156766539374303,2.0,8.130248292036867,8.130248292036867
5,Nearshore slope,1.0,bathymetry,11.0,12.0,0.03,-,+-20%,0.024,0.036,01/01/2017,01/01/2018,sa_lvl1_11,sa_lvl1_12,4.0,6.0,1.0,1.5,520.83334525324,504.7328314104003,-16.100513842839746,16.100513842839746,520.8333295683555,495.9588465092829,-24.87448305907253,24.87448305907253,2.0,8.773969216232786,8.773969216232786
31,Melting temperature water,1.0,physical,63.0,64.0,273.15,K,+-1%,270.4185,275.8815,01/01/2017,01/01/2018,sa_lvl1_63,sa_lvl1_64,6.0,4.0,1.5,1.0,520.833327601287,495.5022611175609,-25.33106648372609,25.33106648372609,520.833327601287,509.330020071764,-11.503307529523,11.503307529523,2.0,13.827758954203091,13.827758954203091
1,Bluff slope,1.0,bathymetry,3.0,4.0,0.6,-,+-20%,0.48,0.72,01/01/2017,01/01/2018,sa_lvl1_3,sa_lvl1_4,2.0,6.0,0.5,1.5,526.041660630742,519.2188748392175,-6.822785791524439,6.822785791524439,517.3611104875055,491.3236672179858,-26.0374432695196,26.0374432695196,4.0,19.21465747799516,19.21465747799516
18,Critical dry slope,1.0,physical,37.0,38.0,0.6,-,+-20%,0.48,0.72,01/01/2017,01/01/2018,sa_lvl1_37,sa_lvl1_38,8.0,2.0,2.0,0.5,520.833327601287,488.3657312190694,-32.46759638221761,32.46759638221761,520.833327601287,510.53922410247856,-10.294103498808454,10.294103498808454,6.0,22.173492883409153,22.173492883409153
43,Thermal module,3.0,,1.0,1.0,On,-,-1,Off,Off,01/01/2017,01/01/2018,sa_lvl3_1,sa_lvl3_1,8.0,8.0,2.0,2.0,520.833327601287,485.5467127027628,-35.28661489852425,35.28661489852425,520.833327601287,485.5467127027628,-35.28661489852425,35.28661489852425,0.0,0.0,31.20790285204066
